EU,1,1
OC,2,2
AS,3,3
EU,4,4
AF,5,5
AF,6,6
AF,7,7
AF,8,8
AF,9,9
OC,10,10
OC,11,11
OC,12,12
AF,13,13
AF,14,14
AS,15,15
AF,16,16
AF,17,17
AN,18,18
AS,19,19
AS,20,20
EU,21,21
AS,22,22
EU,23,23
NA,24,24
OC,25,25
AS,26,26
AS,27,27
AF,28,28
AS,29,29
AF,30,30
AF,31,31
AF,32,32
AF,33,33
AF,34,34
AF,35,35
OC,36,36
AF,37,37
AF,38,38
AF,39,39
NA,40,40
AS,41,41
AF,42,42
AF,43,43
AF,44,44
NA,45,45
AS,46,46
AF,46,47
SA,47,48
AS,48,49
AS,49,50
EU,50,51
AF,51,52
EU,52,53
AF,53,54
AS,54,55
AF,55,56
AS,56,57
OC,57,58
AS,58,59
AF,59,60
EU,60,61
AF,61,62
AF,62,63
AS,63,64
AF,64,65
SA,65,66
AS,66,67
AF,67,68
OC,68,69
AS,69,70
AS,70,71
AS,71,72
AS,72,73
AS,73,74
AS,74,75
AS,75,76
AS,76,77
AS,77,78
AS,78,79
AS,79,80
AS,80,81
OC,81,82
EU,82,83
AF,83,84
NA,84,85
AF,85,86
AS,86,87
SA,87,88
SA,88,89
SA,89,90
SA,90,91
AN,91,92
AF,92,93
AF,93,94
NA,94,95
SA,95,96
AS,96,97
AS,97,98
OC,98,99
EU,99,100
AF,100,101
EU,101,102
SA,102,103
NA,103,104
NA,104,105
AF,105,106
AF,106,107
AF,107,108
EU,108,109
OC,109,110
AF,110,111
AS,111,112
OC,112,113
OC,113,114
OC,114,115
EU,115,116
EU,116,117
EU,117,118
AF,118,119
AF,119,120
AF,120,121
EU,121,122
AS,122,123
AF,123,124
AS,124,125
EU,125,126
EU,126,127
AF,127,128
EU,128,129
AS,129,130
AS,130,131
AS,131,132
EU,132,133
AF,133,134
NA,134,135
AF,135,136
AF,136,137
AS,137,138
NA,138,139
OC,139,140
OC,140,141
NA,141,142
AS,142,143
OC,143,144
OC,144,145
NA,145,146
OC,146,147
NA,147,148
AF,148,149
AF,149,150
NA,150,151
AF,151,152
AF,152,153
AF,153,154
AF,154,155
AF,155,156
AF,156,157
OC,157,158
SA,158,159
EU,159,160
EU,160,161
EU,161,162
EU,162,163
EU,163,164
EU,164,165
EU,165,166
OC,166,167
OC,167,168
EU,168,169
EU,169,170
EU,170,171
SA,171,172
SA,172,173
NA,173,174
NA,174,175
SA,175,176
SA,176,177
NA,177,178
NA,178,179
NA,179,180
AS,180,181
NA,181,182
NA,182,183
AS,183,184
EU,184,185
AS,185,186
EU,186,187
AF,186,188
EU,187,189
AF,188,190
EU,189,191
AF,190,192
NA,191,193
AF,192,194
NA,193,195
NA,194,196
NA,195,197
AS,196,198
OC,197,199
AS,198,200
AS,199,201
AS,200,202
EU,201,203
EU,202,204
AS,203,205
OC,204,206
NA,205,207
NA,206,208
OC,207,209
OC,208,210
OC,209,211
OC,210,212
OC,211,213
OC,212,214
OC,213,215
OC,214,216
OC,215,217
OC,216,218
OC,217,219
OC,218,220
NA,219,221
NA,220,222
NA,221,223
NA,222,224
NA,223,225
AS,224,226
NA,225,227
NA,226,228
EU,227,229
SA,228,230
EU,229,231
EU,230,232
EU,231,233
SA,232,234
AS,233,235
EU,234,236
EU,235,237
EU,236,238
EU,237,239
EU,238,240
EU,239,241
EU,240,242
NA,241,243
EU,242,244
EU,243,245
OC,244,246
OC,245,247
OC,246,248
SA,247,249
AS,248,250
EU,249,251
SA,250,252
SA,251,253
SA,252,254
NA,253,255
NA,254,256
NA,255,257
OC,256,258
OC,257,259
OC,258,260
OC,259,261
SA,260,262
SA,261,263
SA,262,264
SA,263,265
SA,264,266
EU,265,267
EU,266,268
AF,267,269
AS,268,270
EU,269,271
AF,270,272
AF,271,273
EU,272,274
EU,273,275
AF,274,276
AF,275,277
AF,276,278
AS,276,279
EU,277,280
EU,278,281
EU,279,282
EU,280,283
OC,281,284
OC,282,285
OC,283,286
OC,284,287
OC,285,288
AF,286,289
AS,287,290
EU,288,291
OC,289,292
AS,290,293
EU,290,294
EU,291,295
NA,292,296
NA,293,297
NA,294,298
AF,295,299
EU,296,300
AF,297,301
AF,298,302
AF,299,303
AF,300,304
AF,301,305
AF,302,306
AF,303,307
EU,304,308
EU,305,309
AS,306,310
AS,307,311
AS,308,312
EU,309,313
EU,310,314
NA,311,315
NA,312,316
NA,313,317
AF,314,318
OC,315,319
OC,316,320
OC,317,321
NA,318,322
OC,319,323
AF,320,324
OC,321,325
OC,322,326
OC,323,327
OC,324,328
OC,325,329
OC,326,330
OC,327,331
NA,328,332
NA,329,333
NA,330,334
NA,331,335
NA,332,336
OC,333,337
OC,334,338
SA,335,339
SA,336,340
SA,337,341
SA,338,342
SA,339,343
NA,340,344
AF,341,345
AF,342,346
AF,343,347
AF,344,348
AF,345,349
AF,346,350
AS,347,351
AS,348,352
OC,349,353
AS,350,354
AS,351,355
AS,352,356
AS,353,357
AS,354,358
NA,355,359
NA,356,360
AF,357,361
AS,358,362
AS,359,363
AS,360,364
AS,361,365
OC,362,366
AS,363,367
OC,364,368
AS,365,369
EU,366,370
NA,367,371
EU,368,372
NA,369,373
EU,370,374
SA,371,375
NA,372,376
AF,373,377
EU,374,378
EU,375,379
AF,376,380
EU,377,381
EU,378,382
AS,379,383
OC,380,384
AS,381,385
AF,382,386
AF,383,387
AF,384,388
AF,385,389
NA,386,390
OC,387,391
OC,388,392
OC,389,393
OC,390,394
OC,391,395
SA,392,396
AF,393,397
AF,394,398
AF,395,399
AF,396,400
